url,Metrics,country,June16,July16,Aug16,Sep16,Oct16,Nov16,Dec16,Jan17,Feb17,March17,April17,May17
us,LG,us,3218912,3213597,3167767,3529184,3964422,4486587,3906647,3787580,3077044,3942696,4082885,3464059
us,SW,us,2889100,3168000,2955200,3179200,3544800,4193800,3356100,3079400,2291800,2910300,2752600,2617800
cell-phones,LG,us,282552,290086,347900,387839,369248,330830,341507,342694,335439,334048,318657,315024
cell-phones,SW,us,346600,394200,367600,357700,393200,361300,338300,324600,291500,323000,288700,298800
tvs,LG,us,441433,412005,417059,423855,476138,834587,575609,601073,386985,456032,389895,458607
tvs,SW,us,271300,285300,297100,279800,288800,752900,424200,468200,261900,318700,278800,349700
refrigerators,LG,us,118488,128901,125152,137629,122670,156542,103651,120831,106534,116269,123250,116656
refrigerators,SW,us,80500,86400,89900,92300,89300,127600,84100,76400,59100,70300,75800,77800
br,LG,brazil,1224330,1287419,1482918,1510562,1747786,2225649,2164913,1624278,966388,1155098,1176872,1324697
br,SW,brazil,898200,970500,1003500,937600,1067300,1412900,1226900,991000,856400,1042700,998100,1067100
celulares,LG,brazil,161219,181246,230740,174346,142210,241093,303667,147485,106795,110138,149487,250017
celulares,SW,brazil,170900,174400,202500,165500,137000,185100,181400,122200,103000,105000,96200,115200
tv,LG,brazil,151401,163050,143662,151371,244597,461670,258003,102388,98451,127487,189873,140207
tv,SW,brazil,131100,170300,132100,161000,155600,248700,146400,117100,108600,139100,144900,146800
monitores,LG,brazil,39494,39261,41788,44636,42344,52915,71280,44229,36750,47287,42474,45460
monitores,SW,brazil,68000,73100,78000,66000,87500,95100,114000,76100,62400,83800,93300,82400
ru,LG,russia,886850,896061,984021,1058996,1277231,1436836,1807703,862774,864643,1019402,974093,903660
ru,SW,russia,1051000,1112700,1184200,1194600,1332600,1472900,1703500,931300,929500,1096100,984100,1037100
smartphones,LG,russia,53209,83501,196862,209792,226973,284270,479717,164677,189373,216285,143365,151293
smartphones,SW,russia,253600,229500,277800,243300,233600,285300,416500,162800,205500,242300,142800,165000
televisions,LG,russia,119072,115730,186812,243861,299753,368198,411649,223342,219150,218966,202252,203827
televisions,SW,russia,257400,260800,286700,310300,352000,425300,520900,254100,269100,275100,263200,259400
refrigerators,LG,russia,52775,52595,78801,130927,111023,109907,107337,27524,40693,57021,61145,66436
refrigerators,SW,russia,54600,76700,96700,115300,99100,100200,93600,27400,35800,52500,55700,68200
es,LG,spain,834100,784711,771083,787053,806533,909927,916283,812613,641527,708423,615632,666291
es,SW,spain,447400,518500,525200,473900,503000,547000,553300,503300,380500,414800,403900,383900
telefonos-moviles,LG,spain,24858,23418,131664,168948,165493,172157,169545,145284,111033,149594,112633,116331
telefonos-moviles,SW,spain,63400,96000,91500,77000,75700,72400,76500,59000,44800,68200,51000,44700
television,LG,spain,40433,31467,64050,87134,94287,137026,128221,109553,77307,78309,71190,83058
television,SW,spain,103900,92300,81400,69900,84100,123700,93800,79100,69000,58100,68400,67200
frigorificos,LG,spain,18228,23653,24683,25211,20817,23875,13030,16216,14659,15318,12473,15134
frigorificos,SW,spain,11800,19600,18500,13300,10700,15100,10300,9900,8900,10600,5200,11100
in,LG,india,613779,580567,620134,595480,1060224,521022,513024,507902,461026,623295,660504,592248
in,SW,india,597400,576100,625000,598100,882400,428000,421200,405300,385100,525400,566900,520500
mobile-phones,LG,india,67032,69302,69482,70223,66589,62842,52583,44441,53619,48756,43351,37996
mobile-phones,SW,india,58600,64600,67100,70700,64700,53300,49700,29000,48600,37800,33100,26300
tvs,LG,india,92043,101112,127712,122546,408125,103120,103430,107854,80284,118047,90700,92894
tvs,SW,india,102900,116800,136200,117900,210700,74400,72800,78100,56900,73500,63800,64800
refrigerators,LG,india,89381,75158,82693,83698,132048,61796,68879,75397,62693,85378,99394,91103
refrigerators,SW,india,65900,62500,61100,56600,107600,41100,35900,45000,35200,53400,63600,52300
