dt	site	device	country	pageviewmobile	pageviewonline	uniqmobile	uniqonline	visitsmobile	visits	year	month	SW	month run	delta	
201604	spree.co.za	desktop	710	0	0	462258	578453	580226	754321	16	4	501842.4309	April	3	
201605	spree.co.za	desktop	710	4718233	7003269	491200	641418	628285	862339	16	5	493326.3848	May		
201606	spree.co.za	desktop	710	4588370	6470515	429679	559853	546483	741817	16	6	460824.1039	June		
201607	spree.co.za	desktop	710	6279062	11281883	506389	629712	657782	873203	16	7	507343.3525	July		
201608	spree.co.za	desktop	710	4322995	8187918	435834	576826	561652	790550	16	8	460748.816	Aug		
201609	spree.co.za	desktop	710	4938768	8630205	474202	618703	606463	839539	16	9	439868.0996	Sep		
2016010	spree.co.za	desktop	710	0	0	0	0	0		16	10	461025.7301	Oct		
201611	spree.co.za	desktop	710	7528766	12434449	814151	930468	1059340	1300140	16	11	721059.1266	Nov	0.55460114	0.938570978
201612	spree.co.za	desktop	710	4640213	6422267	535052	545064	691744	770506	16	12	518025.394	Dec	0.672318443	
201701	spree.co.za	desktop	710	4755458	7615779	507831	599699	659371	838593	17	1	522265.5731	Jan	0.6227879	
201702	spree.co.za	desktop	710	4318046	6703499	495188	608574	660954	866552	17	2	480162.5953	Feb	0.554107076	
201703	spree.co.za	desktop	710	4719588	7454078	522680	623155	694449	890012	17	3	497297.8371	March	0.558754081	
201604	spree.co.za	desktop								16	4				
201605	spree.co.za	desktop								16	5				
201606	spree.co.za	desktop								16	6				
201607	spree.co.za	desktop								16	7				
201608	spree.co.za	desktop								16	8			0.592513728	
201609	spree.co.za	desktop								16	9				
2016010	spree.co.za	desktop								16	10				
201611	spree.co.za	desktop								16	11				
201612	spree.co.za	desktop								17	12				
201701	spree.co.za	desktop								17	1				
201702	spree.co.za	desktop								17	2				
201703	spree.co.za	desktop								17	3				
