,site,old_regression,new_regression,old_delta,new_delta
0,garnier.de*,0.792078519823,0.794418808388,-0.373057972714,1.19757342471
1,larocheposay.de*,0.307022645527,0.75927831388,-0.473621080926,0.646355475574
2,laroche-posay.es*,0.672970935335,0.520834017095,-0.660027598885,-0.147659839245
3,laroche-posay.ru*,0.946712166607,0.977800428981,-0.59535627621,-0.000693653607643
4,garnier.es*,0.782347477147,0.805338338335,-0.328066430175,1.34438996758
5,laroche-posay.fr*,0.793375579529,0.863015068639,-0.417444995088,0.192926855808
6,loreal-paris.ru*,0.956836382584,0.952957598321,-0.383583667784,1.59828679316
7,garnier.fr*,0.691801315305,0.804989585793,-0.352163030423,0.827458358925
8,loreal-paris.co.uk*,0.922607523303,0.893973955482,-0.376687566701,-0.0406472947481
9,garnier.com.ru*,0.87223690594,0.8235829076,0.0317500224551,2.30158718339
10,lancome.co.uk*,0.536453287963,0.735159361532,-0.413313271679,-0.1387661238
11,garnier.co.uk*,0.29599011752,0.284561309942,0.0429856348083,0.564958462555
